id,percentile,clicks,rankOfClicks,percentileOfClicks
50bef58e5865f4e3060059bc,0,0,96,0.998122506
50bef58e5865f4e3060059d5,0,0,96,0.998122506
50bef58e5865f4e3060059fa,0,0,96,0.998122506
50bef58e5865f4e3060059ff,0,0,96,0.998122506
50bef58e5865f4e306005a20,0,0,96,0.998122506
50bef58e5865f4e306005a3d,0,0,96,0.998122506
50bef58e5865f4e306005a44,0,0,96,0.998122506
50bef58f5865f4e306005a5d,0,0,96,0.998122506
50bef58f5865f4e306005a71,0,0,96,0.998122506
50bef58f5865f4e306005a76,0,0,96,0.998122506
50bef58e5865f4e306005350,0,0,96,0.998122506
50bef58e5865f4e3060053ae,0,0,96,0.998122506
50bef58e5865f4e3060053bb,0,0,96,0.998122506
50bef58e5865f4e306005413,0,0,96,0.998122506
50bef58e5865f4e306005437,0,0,96,0.998122506
50bef58e5865f4e30600543d,0,0,96,0.998122506
50bef58e5865f4e306005470,0,0,96,0.998122506
50bef58e5865f4e30600548d,0,0,96,0.998122506
50bef58e5865f4e30600549a,0,0,96,0.998122506
50bef58e5865f4e3060054a4,0,0,96,0.998122506
50bef58e5865f4e3060054bc,0,0,96,0.998122506
50bef58e5865f4e3060054ce,0,0,96,0.998122506
50bef58e5865f4e306005507,0,0,96,0.998122506
50bef58e5865f4e306005502,0,0,96,0.998122506
50bef58e5865f4e306005519,0,0,96,0.998122506
50bef58e5865f4e30600551a,0,0,96,0.998122506
50bef58e5865f4e30600551f,0,0,96,0.998122506
50bef58e5865f4e306005521,0,0,96,0.998122506
50bef58e5865f4e306005540,0,0,96,0.998122506
50bef58e5865f4e3060055a5,0,0,96,0.998122506
50bef58e5865f4e3060055cf,0,0,96,0.998122506
50bef58e5865f4e3060055ca,0,0,96,0.998122506
50bef58e5865f4e3060055ee,0,0,96,0.998122506
50bef58e5865f4e30600561b,0,0,96,0.998122506
50bef58e5865f4e306005634,0,0,96,0.998122506
50bef58e5865f4e306005639,0,0,96,0.998122506
50bef58e5865f4e30600563a,0,0,96,0.998122506
50bef58e5865f4e30600563f,0,0,96,0.998122506
50bef58e5865f4e30600568f,0,0,96,0.998122506
50bef58e5865f4e3060056e9,0,0,96,0.998122506
50bef58e5865f4e306005704,0,0,96,0.998122506
50bef58e5865f4e306005709,0,0,96,0.998122506
50bef58e5865f4e30600570a,0,0,96,0.998122506
50bef58e5865f4e306005723,0,0,96,0.998122506
50bef58e5865f4e306005747,0,0,96,0.998122506
